Date: 2005.01.01    Station: 46692      Time: 00Z      Levels: 48
  Lat:   25.03   Lon:   121.52   npts:          88
Pres(hPa) Hgt(m)  Temp(c)  Dwpt(c)  Relh(%) Dir(deg)  Spd(knot)
   734.3   2700     0.74    -9.99     44    317      9.12
   716.3   2900     2.14    -8.98     43    314      9.65
   698.7   3100     2.25    -9.04     43    310     10.15
   681.8   3300     1.66    -9.55     43    307     10.79
   664.9   3500     1.07   -10.06     43    304     11.42
   648.1   3700     0.47   -10.56     43    301     12.06
   632.2   3900    -0.51   -11.41     43    297     13.21
   616.5   4100    -1.64   -12.38     43    294     14.44
   601.2   4300    -3.17   -13.63     44    289     16.13
   586.2   4500    -2.78   -13.10     44    285     17.79
   572.1   4700    -3.68   -13.86     45    284     19.33
   558.2   4900    -4.90   -14.93     45    282     20.84
   544.4   5100    -6.11   -15.99     45    281     22.35
   530.5   5300    -7.33   -17.06     45    280     23.87
   516.6   5500    -8.54   -18.12     45    279     25.38
   502.8   5700    -9.76   -19.19     45    278     26.90
   490.2   5900   -14.75   -24.37     43    280     28.54
   478.1   6100   -15.39   -25.04     43    282     30.19
   466.1   6300   -16.04   -25.72     43    285     31.84
   454.0   6500   -16.68   -26.39     42    287     33.49
   442.0   6700   -17.33   -27.07     42    289     35.14
   429.9   6900   -17.97   -27.74     42    291     36.79
   417.9   7100   -18.64   -28.43     42    294     38.45
   406.9   7300   -20.40   -29.83     42    295     40.26
   396.2   7500   -21.97   -31.16     42    297     42.02
   386.2   7700   -23.23   -32.39     42    298     43.68
   376.2   7900   -24.48   -33.62     42    299     45.33
   366.2   8100   -25.74   -34.84     42    301     46.99
   356.1   8300   -26.99   -36.07     41    302     48.64
   346.1   8500   -28.25   -37.30     41    303     50.30
   336.1   8700   -29.50   -38.53     41    304     51.95
   326.2   8900   -30.67   -39.67     40    306     53.50
   317.1   9100   -31.20   -40.20     40    306     54.30
   308.0   9300   -31.72   -40.72     40    306     55.11
   299.6   9500   -33.67   -42.50     40    306     55.71
   291.3   9700   -35.08   -42.50     40    306     55.98
   283.0   9900   -36.48   -42.50     40    306     56.25
   274.7  10100   -38.69   -42.50     40    306     56.50
   266.9  10300   -41.13   -42.50     40    305     56.39
   259.3  10500   -41.97   -42.50     40    304     56.26
   251.7  10700   -42.81   -42.50     40    303     56.13
   244.7  10900   -44.00   -42.50     40    302     55.97
   237.9  11100   -45.29   -42.50     40    300     55.81
   231.1  11300   -46.58   -42.50     40    299     55.65
   224.4  11500   -47.87   -42.50     40    298     55.48
   217.6  11700   -49.16   -42.50     40    297     55.32
   210.8  11900   -50.45   -42.50     40    295     55.16
   204.0  12100   -51.74   -42.50     40    294     55.00
   197.5  12300   -53.10   -42.50     40    293     55.11
   191.6  12500   -54.53   -42.50     40    293     55.60
   185.6  12700   -55.97   -42.50     40    292     56.10
   179.7  12900   -57.40   -42.50     40    292     56.60
   173.4  13100   -61.72   -42.50     40    292     57.05
   168.3  13300   -62.57   -42.50     40    292     56.50
   163.2  13500   -63.41   -42.50     40    292     55.94
   158.1  13700   -64.25   -42.50     40    293     55.39
   153.0  13900   -65.10   -42.50     40    293     54.83
   148.4  14100   -67.51   -42.50     40    294     54.10
   143.8  14300   -69.59   -42.50     40    295     52.46
   139.0  14500   -70.53   -42.50     40    296     50.53
   134.2  14700   -71.48   -42.50     40    298     48.61
   129.5  14900   -72.34   -42.50     40    299     46.67
   125.6  15100   -72.79   -42.50     40    300     44.61
   121.7  15300   -73.25   -42.50     40    301     42.56
   117.7  15500   -73.70   -42.50     40    302     40.50
   113.8  15700   -74.16   -42.50     40    304     38.44
   109.9  15900   -74.61   -42.50     40    305     36.38
   106.0  16100   -75.06   -42.50     40    306     34.33
   102.1  16300   -75.52   -42.50     40    307     32.27
    98.7  16500   -75.83   -42.50     40    309     30.70
    95.6  16700   -76.37   -42.50     40    309     29.51
    92.2  16900   -77.20   -42.50     40    309     28.06
    88.3  17100   -76.88   -42.50     40    308     26.36
    85.7  17300   -76.03   -42.50     40    306     28.03
    82.8  17500   -75.20   -42.50     40    305     22.85
    79.9  17700   -74.38   -42.50     40    304     17.66
    76.9  17900   -73.56   -42.50     40    303     12.47
Date: 2005.01.02    Station: 46692      Time: 00Z      Levels: 61
  Lat:   25.03   Lon:   121.52   npts:         148
Pres(hPa) Hgt(m)  Temp(c)  Dwpt(c)  Relh(%) Dir(deg)  Spd(knot)
   963.2    500     6.86     0.20     62     97     13.33
   940.1    700     5.55    -0.78     63     95     11.01
   917.3    900     3.14    -1.15     73     97      8.87
   895.0   1100     2.50    -1.22     76    115      7.68
   873.0   1300     1.39    -1.35     82    161      6.21
   851.5   1500     0.72    -1.22     86    244      4.42
   831.7   1700     0.38    -0.88     91    247     10.73
   812.3   1900     0.25    -0.75     92    216     20.36
   790.6   2100     0.03    -0.53     95    227     18.56
   770.4   2300    -1.05    -1.66     95    242     17.53
   750.4   2500    -2.23    -2.98     94    255     17.72
   730.4   2700    -3.41    -4.31     92    268     17.90
   713.6   2900    -5.18    -6.30     91    272     17.62
   696.6   3100    -6.78    -8.26     88    278     17.59
   679.1   3300    -7.68   -10.12     82    283     18.54
   661.8   3500    -8.21   -12.28     73    288     19.36
   645.1   3700    -7.91   -15.06     57    291     19.85
   628.7   3900    -7.21   -16.90     45    294     20.04
   613.0   4100    -4.17   -14.39     44    296     19.64
   597.5   4300    -1.61   -12.31     44    299     19.30
   583.0   4500    -2.42   -12.98     44    302     19.74
   568.5   4700    -3.23   -13.66     44    305     20.18
   554.0   4900    -4.05   -14.34     44    307     20.69
   540.4   5100    -4.95   -15.09     44    306     22.31
   526.8   5300    -5.85   -15.85     45    305     23.92
   513.2   5500    -7.09   -16.87     45    304     25.73
   499.8   5700    -8.83   -18.33     45    301     27.84
   487.3   5900   -10.13   -19.60     45    301     29.89
   474.9   6100   -11.43   -20.88     45    300     31.95
   462.5   6300   -12.74   -22.15     45    300     34.00
   450.5   6500   -14.27   -23.63     44    300     35.78
   439.0   6700   -16.14   -25.39     44    301     37.19
   427.6   6900   -18.00   -27.15     44    302     38.60
   416.1   7100   -19.87   -28.92     44    302     40.01
   404.7   7300   -21.74   -30.68     44    303     41.42
   393.7   7500   -23.18   -32.11     43    304     42.71
   383.1   7700   -24.34   -33.32     43    305     43.92
   372.7   7900   -24.53   -33.68     42    306     45.16
   362.6   8100   -23.46   -32.95     41    306     46.46
   353.0   8300   -23.70   -33.30     40    307     47.68
   343.6   8500   -24.60   -34.20     40    307     48.86
   334.2   8700   -25.51   -35.11     40    307     50.04
   324.9   8900   -26.41   -36.01     40    307     51.21
   316.2   9100   -27.38   -36.91     40    307     51.78
   307.5   9300   -28.35   -37.80     40    307     52.35
   298.8   9500   -31.88   -40.70     40    307     52.68
   290.8   9700   -33.66   -40.70     40    307     52.57
   282.9   9900   -35.44   -40.70     40    307     52.46
   274.9  10100   -37.22   -40.70     40    307     52.35
   267.0  10300   -39.00   -40.70     40    307     52.24
   259.0  10500   -40.78   -40.70     40    307     52.13
   251.1  10700   -42.56   -40.70     40    307     52.02
